Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 18.00 degrees [A] RIGHT WP at 18.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96980,923655,685188,252394,0,0,0,0,407,16887,5549,0,0,0,0,171243,54874,0,0,0,0,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,233,1256,0,0,0,0,822,644,0,0,0,0,1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,121,61,0,0,0,0,791,318,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41947,367329,234892,104893,0,0,0,0,0
95404,925725,687479,252923,0,0,0,0,404,16564,5541,0,0,0,0,171100,56065,0,0,0,0,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,228,1268,0,0,0,0,825,644,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,127,52,0,0,0,0,839,314,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41309,367922,234976,106894,0,0,0,0,0
99767,921667,685804,252936,0,0,0,0,371,17079,5774,0,0,0,0,170145,55777,0,0,0,0,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,226,1266,0,0,0,0,824,645,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,111,57,0,0,0,0,821,346,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42708,365921,234269,106617,0,0,0,0,0
107335,916001,685341,253305,0,0,0,0,439,18651,5987,0,0,0,0,169541,55877,0,0,0,0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,236,1261,0,0,0,0,819,648,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,129,55,0,0,0,0,824,288,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46138,365402,235596,106547,0,0,0,0,0
119791,903016,686693,252784,0,0,0,0,460,20501,6745,0,0,0,0,167637,54827,0,0,0,0,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,234,1255,0,0,0,0,811,656,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,151,60,0,0,0,0,846,298,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50924,360875,234860,105949,0,0,0,0,0
136456,890533,685727,253031,0,0,0,0,506,23363,7676,0,0,0,0,164733,54030,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,233,1255,0,0,0,0,800,669,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,150,67,0,0,0,0,802,295,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57489,354928,234673,105904,0,0,0,0,0
156996,872162,683747,253497,0,0,0,0,545,26745,8887,0,0,0,0,161514,53026,0,0,0,0,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,238,1239,0,0,0,0,792,678,0,0,0,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,206,83,0,0,0,0,763,309,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65529,348254,234730,105846,0,0,0,0,0
180369,851077,685385,253071,0,0,0,0,688,30703,10312,0,0,0,0,158716,51776,0,0,0,0,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,243,1231,0,0,0,0,778,689,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,174,104,0,0,0,0,736,293,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75149,341860,235788,106059,0,0,0,0,0
204121,831310,685240,253279,0,0,0,0,800,34589,11417,0,0,0,0,154705,50282,0,0,0,0,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,243,1220,0,0,0,0,761,702,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,211,85,0,0,0,0,755,302,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83813,333334,235261,105085,0,0,0,0,0
231299,806326,687014,253100,0,0,0,0,819,41651,13685,0,0,0,0,148353,48772,0,0,0,0,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,250,1194,0,0,0,0,739,728,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,237,101,0,0,0,0,739,256,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99523,321563,235456,105244,0,0,0,0,0
