Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 22.00 degrees [A] RIGHT WP at 22.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95641,916463,615954,312914,0,0,0,0,399,15140,6780,0,0,0,0,152804,67926,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,241,1320,0,0,0,0,857,700,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,99,62,0,0,0,0,762,415,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40657,344384,218209,128443,0,0,0,0,0
94453,917090,614416,314768,0,0,0,0,334,14655,6753,0,0,0,0,152220,68997,0,0,0,0,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,239,1319,0,0,0,0,861,701,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,101,71,0,0,0,0,766,373,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39706,343683,217256,130781,0,0,0,0,0
98512,913218,615073,315864,0,0,0,0,392,15051,7093,0,0,0,0,150500,68736,0,0,0,0,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,239,1327,0,0,0,0,858,706,0,0,0,0,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,194,102,0,0,0,0,1843,864,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41030,340570,215574,130672,0,0,0,0,0
106219,908855,616402,314964,0,0,0,0,438,16234,7515,0,0,0,0,151868,68721,0,0,0,0,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,238,1321,0,0,0,0,855,708,0,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,128,63,0,0,0,0,726,352,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44261,343213,218100,131205,0,0,0,0,0
118240,897712,615524,316464,0,0,0,0,448,18241,8318,0,0,0,0,149329,68375,0,0,0,0,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194,240,1309,0,0,0,0,851,711,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,132,76,0,0,0,0,732,381,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48909,338460,217716,131458,0,0,0,0,0
134191,884391,615221,315764,0,0,0,0,523,20333,9706,0,0,0,0,147234,67203,0,0,0,0,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,243,1317,0,0,0,0,838,723,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,135,78,0,0,0,0,733,341,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55090,334297,217290,130791,0,0,0,0,0
154449,866439,616106,315499,0,0,0,0,624,23727,10866,0,0,0,0,144841,65797,0,0,0,0,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,248,1303,0,0,0,0,828,736,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,170,91,0,0,0,0,719,374,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62964,328486,218056,130448,0,0,0,0,0
176457,848370,616051,315133,0,0,0,0,665,27008,12613,0,0,0,0,142015,65202,0,0,0,0,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,249,1295,0,0,0,0,815,748,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,192,96,0,0,0,0,721,364,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71694,323711,218099,131406,0,0,0,0,0
200462,826341,616121,316273,0,0,0,0,760,32536,15134,0,0,0,0,136596,62215,0,0,0,0,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,259,1275,0,0,0,0,794,770,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,190,116,0,0,0,0,662,345,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85225,311687,217299,130078,0,0,0,0,0
228587,802193,615641,317152,0,0,0,0,857,37200,17258,0,0,0,0,132490,60559,0,0,0,0,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,267,1255,0,0,0,0,776,788,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,224,134,0,0,0,0,648,316,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96594,303528,217146,129982,0,0,0,0,0
256467,777553,615451,315791,0,0,0,0,905,41769,19369,0,0,0,0,128359,58410,0,0,0,0,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,273,1242,0,0,0,0,757,805,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,257,126,0,0,0,0,683,320,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107469,294930,216801,129520,0,0,0,0,0
286919,750588,617036,316525,0,0,0,0,1012,46822,21488,0,0,0,0,123379,56420,0,0,0,0,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,277,1224,0,0,0,0,737,824,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,261,138,0,0,0,0,617,323,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118962,284723,217017,129034,0,0,0,0,0
327327,712007,615633,316425,0,0,0,0,1079,51572,23941,0,0,0,0,118614,53888,0,0,0,0,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,287,1209,0,0,0,0,717,844,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,302,168,0,0,0,0,594,300,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130552,274369,216281,128339,0,0,0,0,0
359732,683976,616534,316556,0,0,0,0,1140,56907,26524,0,0,0,0,114712,52106,0,0,0,0,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,296,1182,0,0,0,0,697,862,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,324,158,0,0,0,0,558,287,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143520,265996,217818,129132,0,0,0,0,0
390339,654671,617254,315997,0,0,0,0,1197,61747,28530,0,0,0,0,109813,49769,0,0,0,0,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,304,1172,0,0,0,0,675,887,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,321,180,0,0,0,0,557,254,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154180,255634,217626,128117,0,0,0,0,0
418634,629778,616621,316759,0,0,0,0,1172,65966,30823,0,0,0,0,105044,47672,0,0,0,0,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,313,1152,0,0,0,0,658,905,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,382,188,0,0,0,0,538,305,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164140,245335,216793,128093,0,0,0,0,0
445460,602777,616448,316638,0,0,0,0,1158,69903,32570,0,0,0,0,101425,45965,0,0,0,0,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202,321,1137,0,0,0,0,643,922,0,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,364,202,0,0,0,0,530,293,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173109,237432,216820,127976,0,0,0,0,0
469581,581601,615082,316892,0,0,0,0,1243,73752,34502,0,0,0,0,97048,44247,0,0,0,0,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,331,1128,0,0,0,0,628,941,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,409,234,0,0,0,0,510,250,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181855,228276,216233,128200,0,0,0,0,0
491090,561083,617836,317338,0,0,0,0,1216,77565,35961,0,0,0,0,94770,42830,0,0,0,0,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,336,1110,0,0,0,0,613,958,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,416,205,0,0,0,0,476,266,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189804,222913,218029,128666,0,0,0,0,0
