Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 24.00 degrees [A] RIGHT WP at 24.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96361,922091,593954,345493,0,0,0,0,395,14838,7484,0,0,0,0,149249,75259,0,0,0,0,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219,243,1354,0,0,0,0,872,722,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,117,72,0,0,0,0,760,481,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41081,344214,216547,142266,0,0,0,0,0
95424,925328,588829,350290,0,0,0,0,392,14089,7604,0,0,0,0,146721,78361,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,243,1353,0,0,0,0,883,726,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,108,70,0,0,0,0,749,444,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40298,342343,213822,147671,0,0,0,0,0
98172,923624,590113,350338,0,0,0,0,408,14921,8018,0,0,0,0,146530,77714,0,0,0,0,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,245,1361,0,0,0,0,881,730,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,111,76,0,0,0,0,703,409,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42069,341753,214246,147216,0,0,0,0,0
104560,916293,590248,350201,0,0,0,0,434,16128,8718,0,0,0,0,144942,77069,0,0,0,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,244,1346,0,0,0,0,875,734,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,124,77,0,0,0,0,717,394,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45662,338196,213643,147013,0,0,0,0,0
116339,907259,589918,351065,0,0,0,0,499,18168,9585,0,0,0,0,143429,75986,0,0,0,0,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,247,1346,0,0,0,0,867,743,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,126,76,0,0,0,0,750,399,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50820,334769,213422,146441,0,0,0,0,0
131602,893808,589548,348759,0,0,0,0,541,20713,11067,0,0,0,0,140802,75000,0,0,0,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,247,1342,0,0,0,0,861,746,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,148,76,0,0,0,0,691,409,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57680,329962,213172,146209,0,0,0,0,0
157844,872715,590630,350054,0,0,0,0,611,23982,12723,0,0,0,0,138767,73617,0,0,0,0,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,255,1323,0,0,0,0,842,766,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,157,105,0,0,0,0,721,402,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65880,325389,214175,146310,0,0,0,0,0
181957,850471,590042,350913,0,0,0,0,692,27525,14740,0,0,0,0,135907,71963,0,0,0,0,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,258,1315,0,0,0,0,827,781,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,165,101,0,0,0,0,692,398,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75782,319181,214334,145793,0,0,0,0,0
208039,827378,590187,350534,0,0,0,0,803,31576,16917,0,0,0,0,131943,69584,0,0,0,0,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,265,1298,0,0,0,0,814,794,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,179,120,0,0,0,0,738,382,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85991,310808,213279,144769,0,0,0,0,0
237254,802349,590499,350395,0,0,0,0,858,35353,19312,0,0,0,0,128077,67834,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,270,1286,0,0,0,0,795,811,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,229,134,0,0,0,0,673,372,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96846,302330,212723,144828,0,0,0,0,0
