Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 30.00 degrees [A] RIGHT WP at 30.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95536,914736,500582,425580,0,0,0,0,380,12263,9178,0,0,0,0,124147,94226,0,0,0,0,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,259,1419,0,0,0,0,927,799,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,98,81,0,0,0,0,673,518,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39403,316176,189866,177784,0,0,0,0,0
94313,917717,500908,427148,0,0,0,0,337,12158,9118,0,0,0,0,124611,94496,0,0,0,0,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,263,1425,0,0,0,0,932,796,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,102,64,0,0,0,0,629,482,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38939,317070,190234,178715,0,0,0,0,0
97782,913282,500746,427523,0,0,0,0,407,12558,9410,0,0,0,0,123418,94176,0,0,0,0,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,262,1423,0,0,0,0,929,803,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,88,71,0,0,0,0,643,481,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40406,314592,189315,178247,0,0,0,0,0
106671,906638,501311,427814,0,0,0,0,462,13446,10437,0,0,0,0,123670,94190,0,0,0,0,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194,257,1428,0,0,0,0,922,808,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,99,70,0,0,0,0,622,491,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43669,315566,190681,179482,0,0,0,0,0
117657,900444,502104,428052,0,0,0,0,456,14798,11320,0,0,0,0,122830,93299,0,0,0,0,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,259,1418,0,0,0,0,917,813,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,119,100,0,0,0,0,599,521,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47584,313755,190675,178973,0,0,0,0,0
132847,884273,500249,427603,0,0,0,0,498,16699,12851,0,0,0,0,120261,91708,0,0,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,268,1412,0,0,0,0,910,821,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,135,110,0,0,0,0,616,483,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53473,307773,189408,178108,0,0,0,0,0
152783,866745,501256,426939,0,0,0,0,594,19358,14745,0,0,0,0,118414,90347,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,271,1397,0,0,0,0,896,831,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,130,111,0,0,0,0,615,449,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61004,304780,189674,177537,0,0,0,0,0
175781,848864,501254,427777,0,0,0,0,656,22305,16937,0,0,0,0,115896,88225,0,0,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,277,1389,0,0,0,0,885,850,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,162,137,0,0,0,0,634,456,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69584,298872,189551,176653,0,0,0,0,0
200938,827918,503288,427883,0,0,0,0,760,25402,19507,0,0,0,0,113091,86476,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,283,1375,0,0,0,0,867,862,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,201,137,0,0,0,0,577,453,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79386,293259,189238,176623,0,0,0,0,0
227945,802783,501292,427938,0,0,0,0,834,30298,23145,0,0,0,0,108220,82234,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,290,1357,0,0,0,0,844,885,0,0,0,0,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,197,154,0,0,0,0,566,441,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93070,281568,188083,174175,0,0,0,0,0
256637,777058,501907,428397,0,0,0,0,944,34307,26572,0,0,0,0,104909,80017,0,0,0,0,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,302,1339,0,0,0,0,825,904,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,211,177,0,0,0,0,523,454,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104659,274736,188002,175531,0,0,0,0,0
286546,749044,502567,427861,0,0,0,0,994,38140,29589,0,0,0,0,100797,76214,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,307,1324,0,0,0,0,804,929,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,238,192,0,0,0,0,538,374,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115441,264629,186928,172996,0,0,0,0,0
316593,721877,501263,428629,0,0,0,0,1023,42596,32585,0,0,0,0,96901,73635,0,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,320,1308,0,0,0,0,784,949,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,234,163,0,0,0,0,495,365,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126410,256621,186913,172781,0,0,0,0,0
358486,683428,502828,427358,0,0,0,0,1134,46657,35391,0,0,0,0,94056,70797,0,0,0,0,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,329,1282,0,0,0,0,767,967,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,261,219,0,0,0,0,485,384,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137580,249340,187917,171717,0,0,0,0,0
390992,656456,502693,429233,0,0,0,0,1192,50536,39044,0,0,0,0,89552,68321,0,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,341,1275,0,0,0,0,745,990,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,299,215,0,0,0,0,482,393,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148065,240480,186889,173050,0,0,0,0,0
419636,628856,503455,428951,0,0,0,0,1236,54642,42096,0,0,0,0,86375,65058,0,0,0,0,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,351,1253,0,0,0,0,725,1007,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,328,248,0,0,0,0,440,367,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158910,232084,187282,172582,0,0,0,0,0
446119,603349,503390,428634,0,0,0,0,1186,57705,44418,0,0,0,0,83056,62590,0,0,0,0,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,358,1240,0,0,0,0,704,1032,0,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,307,246,0,0,0,0,413,328,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166669,224311,186993,171586,0,0,0,0,0
471247,581809,503171,428055,0,0,0,0,1297,60923,46767,0,0,0,0,79321,60532,0,0,0,0,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,368,1222,0,0,0,0,692,1045,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,321,260,0,0,0,0,409,318,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174444,216558,186411,171653,0,0,0,0,0
491081,561283,504419,428368,0,0,0,0,1258,63257,49089,0,0,0,0,76702,58479,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,375,1212,0,0,0,0,680,1057,0,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,338,268,0,0,0,0,423,316,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180914,209977,186132,171973,0,0,0,0,0
508992,542760,504100,428560,0,0,0,0,1254,66048,51055,0,0,0,0,74448,55940,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,383,1201,0,0,0,0,665,1076,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,379,279,0,0,0,0,377,330,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187584,203759,186501,171050,0,0,0,0,0
524549,529951,504154,428298,0,0,0,0,1195,68347,52756,0,0,0,0,72833,54927,0,0,0,0,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,389,1189,0,0,0,0,656,1083,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,366,322,0,0,0,0,428,313,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193340,199921,187707,171843,0,0,0,0,0
532388,523523,503737,430470,0,0,0,0,1274,68749,53523,0,0,0,0,72089,54664,0,0,0,0,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,392,1192,0,0,0,0,650,1090,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,363,300,0,0,0,0,389,320,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194590,198925,187406,172691,0,0,0,0,0
540596,514903,503579,430239,0,0,0,0,1297,69631,54488,0,0,0,0,71311,53738,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,398,1183,0,0,0,0,646,1097,0,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,346,310,0,0,0,0,363,307,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197432,196449,187273,172843,0,0,0,0,0
541813,513216,503270,429764,0,0,0,0,1173,70212,54359,0,0,0,0,70313,53445,0,0,0,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,399,1183,0,0,0,0,642,1095,0,0,0,0,1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,381,345,0,0,0,0,372,322,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197658,194383,186513,172498,0,0,0,0,0
540659,515048,503923,429839,0,0,0,0,1232,70272,53931,0,0,0,0,70657,53476,0,0,0,0,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,397,1181,0,0,0,0,644,1095,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,382,306,0,0,0,0,402,299,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197420,195080,187001,171874,0,0,0,0,0
536080,520111,503217,429875,0,0,0,0,1220,69343,53778,0,0,0,0,70911,53557,0,0,0,0,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,396,1184,0,0,0,0,648,1093,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,378,290,0,0,0,0,416,313,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195690,195370,186217,171825,0,0,0,0,0
524868,530796,505204,430135,0,0,0,0,1263,67752,52792,0,0,0,0,73722,55053,0,0,0,0,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,392,1195,0,0,0,0,658,1087,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,364,283,0,0,0,0,404,317,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192524,201940,187914,171963,0,0,0,0,0
511859,542034,504116,429853,0,0,0,0,1193,66279,50479,0,0,0,0,74947,57142,0,0,0,0,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,382,1202,0,0,0,0,664,1070,0,0,0,0,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,371,287,0,0,0,0,429,307,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186970,205942,187382,172363,0,0,0,0,0
494971,556164,505530,429943,0,0,0,0,1249,63892,49356,0,0,0,0,77839,58718,0,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,377,1208,0,0,0,0,678,1060,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,338,301,0,0,0,0,395,328,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182693,211928,188045,173152,0,0,0,0,0
475659,575807,504028,429974,0,0,0,0,1295,60843,47263,0,0,0,0,80411,60775,0,0,0,0,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,371,1226,0,0,0,0,693,1045,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,396,290,0,0,0,0,424,357,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175095,218684,187591,172914,0,0,0,0,0
443211,606385,503889,431064,0,0,0,0,1175,57561,44830,0,0,0,0,83431,62802,0,0,0,0,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,362,1237,0,0,0,0,705,1029,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,317,273,0,0,0,0,445,376,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166503,225067,187579,172893,0,0,0,0,0
