Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 32.00 degrees [A] RIGHT WP at 32.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96596,924553,490500,445314,0,0,0,0,442,12069,9884,0,0,0,0,123982,99078,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,265,1442,0,0,0,0,938,809,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,82,75,0,0,0,0,654,509,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40358,320374,191316,187118,0,0,0,0,0
96178,925206,485147,451691,0,0,0,0,403,11722,10271,0,0,0,0,121095,101999,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,264,1452,0,0,0,0,946,817,0,0,0,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,93,68,0,0,0,0,572,527,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40401,318040,187861,192996,0,0,0,0,0
98208,923298,484152,452803,0,0,0,0,442,12209,10099,0,0,0,0,120394,101223,0,0,0,0,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,265,1447,0,0,0,0,943,821,0,0,0,0,1221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,94,90,0,0,0,0,587,546,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41263,315951,187423,191217,0,0,0,0,0
107270,914690,484231,452077,0,0,0,0,466,13213,11180,0,0,0,0,120362,100171,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,264,1447,0,0,0,0,938,824,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,97,83,0,0,0,0,584,529,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44510,315439,188182,190875,0,0,0,0,0
120162,902692,485076,452875,0,0,0,0,543,15165,12407,0,0,0,0,118422,99769,0,0,0,0,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,270,1434,0,0,0,0,929,832,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,119,86,0,0,0,0,601,492,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49994,312725,187562,191408,0,0,0,0,0
137045,890912,485439,453143,0,0,0,0,572,17045,14471,0,0,0,0,116819,98108,0,0,0,0,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,275,1432,0,0,0,0,919,842,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,115,100,0,0,0,0,591,481,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56673,308622,187374,191121,0,0,0,0,0
158331,872438,484995,453232,0,0,0,0,589,19678,16600,0,0,0,0,115071,96265,0,0,0,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,275,1420,0,0,0,0,909,854,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,145,111,0,0,0,0,627,497,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64883,304446,187530,190432,0,0,0,0,0
182027,851109,485447,452978,0,0,0,0,675,22418,18829,0,0,0,0,112128,93749,0,0,0,0,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,280,1413,0,0,0,0,891,869,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,146,131,0,0,0,0,574,476,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73343,297703,186449,188790,0,0,0,0,0
207907,828474,485449,452156,0,0,0,0,748,25571,21273,0,0,0,0,109308,90879,0,0,0,0,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,288,1396,0,0,0,0,877,885,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,169,140,0,0,0,0,529,499,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82597,291211,185593,186655,0,0,0,0,0
236802,803187,484913,452579,0,0,0,0,923,29352,24658,0,0,0,0,105537,88520,0,0,0,0,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,296,1381,0,0,0,0,862,903,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,185,161,0,0,0,0,562,479,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93783,283457,184925,187447,0,0,0,0,0
