Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 34.00 degrees [A] RIGHT WP at 34.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96295,924075,473395,462856,0,0,0,0,373,11424,10257,0,0,0,0,116451,105281,0,0,0,0,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,271,1459,0,0,0,0,957,831,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,86,89,0,0,0,0,594,514,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40089,312798,182498,198829,0,0,0,0,0
95177,924758,466979,469367,0,0,0,0,414,11358,10263,0,0,0,0,117050,105222,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074,270,1464,0,0,0,0,954,833,0,0,0,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,84,77,0,0,0,0,587,553,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39843,313693,183345,198691,0,0,0,0,0
97351,923421,465966,470120,0,0,0,0,463,11834,10566,0,0,0,0,116567,105187,0,0,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,271,1456,0,0,0,0,953,835,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,93,87,0,0,0,0,581,548,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41205,313403,183167,198773,0,0,0,0,0
107413,916530,467245,468905,0,0,0,0,453,12709,11543,0,0,0,0,115698,104301,0,0,0,0,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,265,1455,0,0,0,0,950,836,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,112,95,0,0,0,0,598,549,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44325,311366,182368,198969,0,0,0,0,0
119617,903138,466406,468906,0,0,0,0,504,14225,12948,0,0,0,0,113955,103189,0,0,0,0,1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,275,1450,0,0,0,0,940,845,0,0,0,0,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,101,100,0,0,0,0,560,545,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49457,307826,182193,197878,0,0,0,0,0
137203,888671,465668,468933,0,0,0,0,537,16477,14799,0,0,0,0,112309,101539,0,0,0,0,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,279,1447,0,0,0,0,933,856,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,110,93,0,0,0,0,603,509,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56538,303739,182135,197603,0,0,0,0,0
158229,871022,467380,469718,0,0,0,0,636,18909,16970,0,0,0,0,110511,99618,0,0,0,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,279,1435,0,0,0,0,916,870,0,0,0,0,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,115,113,0,0,0,0,498,471,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64306,299709,181794,196987,0,0,0,0,0
181398,850528,466529,468910,0,0,0,0,644,21540,19513,0,0,0,0,107764,96896,0,0,0,0,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,285,1424,0,0,0,0,905,886,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,124,137,0,0,0,0,547,493,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73116,293267,180766,194627,0,0,0,0,0
207989,825838,466339,468489,0,0,0,0,771,24803,22238,0,0,0,0,104604,94166,0,0,0,0,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,294,1410,0,0,0,0,888,900,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,173,125,0,0,0,0,548,473,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82912,286124,179765,193764,0,0,0,0,0
236072,800718,464811,468440,0,0,0,0,837,28193,25368,0,0,0,0,100909,91090,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,304,1395,0,0,0,0,868,920,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,152,149,0,0,0,0,512,484,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92934,278071,178815,192072,0,0,0,0,0
