Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 36.00 degrees [A] RIGHT WP at 36.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96527,924354,453822,479303,0,0,0,0,382,11085,10608,0,0,0,0,114488,107801,0,0,0,0,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,271,1464,0,0,0,0,961,837,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,92,89,0,0,0,0,545,584,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40178,311950,180186,203776,0,0,0,0,0
95005,926290,453129,481957,0,0,0,0,378,11050,10369,0,0,0,0,112859,108428,0,0,0,0,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,275,1472,0,0,0,0,965,841,0,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,88,85,0,0,0,0,582,547,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39238,309707,178555,204572,0,0,0,0,0
98453,919441,451279,480216,0,0,0,0,399,11309,10769,0,0,0,0,111859,107925,0,0,0,0,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,274,1469,0,0,0,0,964,845,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,90,105,0,0,0,0,596,537,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40545,307629,177372,204038,0,0,0,0,0
106799,916003,452990,483350,0,0,0,0,385,12331,11667,0,0,0,0,112896,107856,0,0,0,0,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,275,1471,0,0,0,0,960,847,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,101,95,0,0,0,0,581,561,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43547,309716,179490,205473,0,0,0,0,0
118427,906318,453295,481460,0,0,0,0,468,13473,12842,0,0,0,0,112139,106403,0,0,0,0,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,273,1465,0,0,0,0,954,852,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,128,102,0,0,0,0,571,528,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47973,307493,179443,203860,0,0,0,0,0
133815,891385,452198,481768,0,0,0,0,513,15423,14436,0,0,0,0,109874,104754,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,277,1460,0,0,0,0,946,863,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,118,113,0,0,0,0,555,546,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53919,302389,178304,202963,0,0,0,0,0
152953,875720,452676,482707,0,0,0,0,545,17486,16447,0,0,0,0,106926,102215,0,0,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,283,1449,0,0,0,0,933,872,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,128,133,0,0,0,0,585,487,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60839,295783,176122,200779,0,0,0,0,0
175531,854459,451987,481302,0,0,0,0,640,20137,18862,0,0,0,0,105619,100862,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206,289,1438,0,0,0,0,920,888,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,151,154,0,0,0,0,513,509,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69138,292896,177398,201586,0,0,0,0,0
201043,832355,451312,480528,0,0,0,0,764,24435,23223,0,0,0,0,101735,97143,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,297,1421,0,0,0,0,896,914,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,162,142,0,0,0,0,534,510,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83318,284443,176596,200319,0,0,0,0,0
227849,808538,452946,480894,0,0,0,0,801,27441,26214,0,0,0,0,98181,94075,0,0,0,0,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,309,1403,0,0,0,0,877,926,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,174,177,0,0,0,0,533,481,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93174,276513,174816,198615,0,0,0,0,0
