Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 38.00 degrees [A] RIGHT WP at 38.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96877,925510,446873,487172,0,0,0,0,433,10945,10995,0,0,0,0,110984,110454,0,0,0,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1211,280,1481,0,0,0,0,972,851,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,90,89,0,0,0,0,556,554,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40268,308157,176334,209453,0,0,0,0,0
95391,926925,444990,489724,0,0,0,0,393,10840,10770,0,0,0,0,111435,110131,0,0,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,269,1480,0,0,0,0,970,851,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,76,78,0,0,0,0,597,573,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39875,308992,176518,208112,0,0,0,0,0
97787,924008,442603,491447,0,0,0,0,389,11139,11289,0,0,0,0,110698,109799,0,0,0,0,1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,273,1484,0,0,0,0,967,854,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,84,83,0,0,0,0,581,590,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41220,307484,175836,208324,0,0,0,0,0
107923,915454,443223,491333,0,0,0,0,406,12450,12046,0,0,0,0,110264,109702,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,271,1475,0,0,0,0,964,858,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,90,91,0,0,0,0,551,588,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44743,307268,176673,208862,0,0,0,0,0
120181,904067,443994,491186,0,0,0,0,478,13748,13541,0,0,0,0,108776,108151,0,0,0,0,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,278,1471,0,0,0,0,956,865,0,0,0,0,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,111,102,0,0,0,0,549,544,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49450,303562,175934,207962,0,0,0,0,0
137486,890759,444359,490331,0,0,0,0,542,15521,15367,0,0,0,0,107633,106213,0,0,0,0,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,280,1464,0,0,0,0,944,873,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,109,123,0,0,0,0,544,526,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56085,300012,175685,206663,0,0,0,0,0
157995,871428,443770,492833,0,0,0,0,576,18094,18068,0,0,0,0,105268,104697,0,0,0,0,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,285,1461,0,0,0,0,931,889,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,122,120,0,0,0,0,566,546,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64453,295674,175691,207036,0,0,0,0,0
181698,850826,444353,490047,0,0,0,0,629,20768,20454,0,0,0,0,103036,101341,0,0,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,296,1441,0,0,0,0,916,904,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,121,131,0,0,0,0,513,503,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72913,289368,174961,204200,0,0,0,0,0
208660,828578,443629,491647,0,0,0,0,738,24070,23618,0,0,0,0,100572,99382,0,0,0,0,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,302,1431,0,0,0,0,902,920,0,0,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,160,136,0,0,0,0,520,505,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83283,284939,175201,204688,0,0,0,0,0
236787,800383,443222,490088,0,0,0,0,922,26947,26738,0,0,0,0,96873,95722,0,0,0,0,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,309,1413,0,0,0,0,884,935,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,168,171,0,0,0,0,479,480,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93242,275565,173137,202264,0,0,0,0,0
266669,775527,443582,489403,0,0,0,0,893,30273,30286,0,0,0,0,94201,93150,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,320,1399,0,0,0,0,864,956,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,179,188,0,0,0,0,527,501,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103511,270260,173460,201874,0,0,0,0,0
297089,748745,443524,491425,0,0,0,0,1054,34071,33768,0,0,0,0,90998,90335,0,0,0,0,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,328,1382,0,0,0,0,845,976,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,226,212,0,0,0,0,539,513,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114577,263361,173191,202145,0,0,0,0,0
329104,719556,444912,491051,0,0,0,0,1069,37531,37730,0,0,0,0,87786,85782,0,0,0,0,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,337,1361,0,0,0,0,825,997,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,221,250,0,0,0,0,447,421,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125896,253735,172861,199798,0,0,0,0,0
356143,693490,444155,489583,0,0,0,0,1101,40405,39973,0,0,0,0,84766,83043,0,0,0,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,346,1347,0,0,0,0,805,1015,0,0,0,0,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,255,241,0,0,0,0,460,458,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133603,246735,171863,198403,0,0,0,0,0
387486,665309,443099,491590,0,0,0,0,1146,44094,44245,0,0,0,0,81292,80073,0,0,0,0,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,355,1332,0,0,0,0,789,1037,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,293,260,0,0,0,0,460,545,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144464,239391,171698,199727,0,0,0,0,0
416452,637999,442980,491847,0,0,0,0,1164,47391,47309,0,0,0,0,78112,76795,0,0,0,0,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,367,1315,0,0,0,0,770,1055,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,303,273,0,0,0,0,431,408,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154009,230778,171656,198530,0,0,0,0,0
442213,614234,444326,490453,0,0,0,0,1250,50537,50328,0,0,0,0,75796,73761,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,377,1298,0,0,0,0,750,1075,0,0,0,0,1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,286,279,0,0,0,0,388,401,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162892,224406,172222,198201,0,0,0,0,0
466163,590127,444009,491485,0,0,0,0,1263,54536,54758,0,0,0,0,70752,69538,0,0,0,0,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,389,1281,0,0,0,0,730,1097,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,284,336,0,0,0,0,386,423,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173764,212872,170662,197719,0,0,0,0,0
488585,569671,443088,491060,0,0,0,0,1231,56941,56993,0,0,0,0,68346,67003,0,0,0,0,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,400,1265,0,0,0,0,712,1115,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,286,324,0,0,0,0,374,336,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180030,206706,170311,196990,0,0,0,0,0
507905,553120,444337,491445,0,0,0,0,1317,58457,59721,0,0,0,0,66571,65266,0,0,0,0,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,405,1258,0,0,0,0,702,1127,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,328,322,0,0,0,0,371,360,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185409,201901,170579,198741,0,0,0,0,0
521601,539442,442890,491154,0,0,0,0,1317,60523,60793,0,0,0,0,65173,63030,0,0,0,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,412,1248,0,0,0,0,688,1139,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,359,318,0,0,0,0,336,326,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190071,196990,171023,197105,0,0,0,0,0
533709,527233,444529,490304,0,0,0,0,1316,61824,62084,0,0,0,0,63675,62124,0,0,0,0,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,414,1243,0,0,0,0,684,1144,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,338,328,0,0,0,0,339,344,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193450,193984,171005,197321,0,0,0,0,0
539743,519290,442839,490273,0,0,0,0,1212,61874,62620,0,0,0,0,63350,61398,0,0,0,0,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,417,1240,0,0,0,0,677,1152,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,329,346,0,0,0,0,356,328,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194020,192014,170858,197142,0,0,0,0,0
