Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 40.00 degrees [A] RIGHT WP at 40.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96375,925561,441125,492732,0,0,0,0,407,10840,10948,0,0,0,0,110573,111491,0,0,0,0,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,269,1487,0,0,0,0,975,857,0,0,0,0,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,80,88,0,0,0,0,559,537,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39916,308429,175583,211704,0,0,0,0,0
95866,926189,439562,494995,0,0,0,0,351,10737,10788,0,0,0,0,110389,112137,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,270,1498,0,0,0,0,974,853,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,77,80,0,0,0,0,561,609,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39497,309043,175912,211474,0,0,0,0,0
97777,923642,437544,494470,0,0,0,0,389,11200,11142,0,0,0,0,110074,111129,0,0,0,0,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,278,1488,0,0,0,0,973,856,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,85,86,0,0,0,0,595,612,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41247,306962,175624,210643,0,0,0,0,0
107880,915574,438382,494592,0,0,0,0,442,12042,12262,0,0,0,0,109214,110796,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,275,1484,0,0,0,0,966,860,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,88,106,0,0,0,0,575,577,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44912,305818,175177,211126,0,0,0,0,0
120558,904768,439074,495176,0,0,0,0,526,13628,13899,0,0,0,0,107935,109121,0,0,0,0,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,278,1479,0,0,0,0,961,870,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,104,107,0,0,0,0,526,535,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49996,303204,174985,209903,0,0,0,0,0
137389,889345,438651,494930,0,0,0,0,596,15519,15634,0,0,0,0,106287,107488,0,0,0,0,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,282,1472,0,0,0,0,949,878,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,104,107,0,0,0,0,575,556,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56150,299413,174574,209354,0,0,0,0,0
158536,871308,439213,494222,0,0,0,0,629,18123,18183,0,0,0,0,104486,105646,0,0,0,0,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,286,1462,0,0,0,0,934,892,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,115,125,0,0,0,0,512,508,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64942,295474,174794,208727,0,0,0,0,0
181954,850480,438961,495043,0,0,0,0,714,20685,20923,0,0,0,0,101491,102607,0,0,0,0,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,290,1454,0,0,0,0,921,906,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,145,155,0,0,0,0,545,538,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73500,288626,173033,206697,0,0,0,0,0
207985,827343,438076,494842,0,0,0,0,723,23397,23819,0,0,0,0,98922,100733,0,0,0,0,997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,300,1437,0,0,0,0,903,923,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,160,138,0,0,0,0,494,564,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83017,283004,172729,206840,0,0,0,0,0
237490,803617,438620,494894,0,0,0,0,848,26859,27044,0,0,0,0,95839,97261,0,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,311,1416,0,0,0,0,887,940,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,175,192,0,0,0,0,473,510,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93182,275685,172242,205074,0,0,0,0,0
