Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 44.00 degrees [A] RIGHT WP at 44.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95858,917243,438857,483649,0,0,0,0,415,10925,10770,0,0,0,0,110075,108879,0,0,0,0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,273,1476,0,0,0,0,966,853,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,92,80,0,0,0,0,596,577,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40047,305229,174928,205783,0,0,0,0,0
95204,918422,439358,483642,0,0,0,0,410,10711,10733,0,0,0,0,109515,109326,0,0,0,0,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,273,1480,0,0,0,0,965,854,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,85,89,0,0,0,0,568,580,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39402,304532,173992,206898,0,0,0,0,0
98550,914452,437792,482369,0,0,0,0,429,11363,11114,0,0,0,0,109201,108410,0,0,0,0,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,271,1477,0,0,0,0,964,853,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,93,95,0,0,0,0,595,584,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41238,303777,174171,205107,0,0,0,0,0
106918,908654,437737,483031,0,0,0,0,435,11965,11749,0,0,0,0,108419,107820,0,0,0,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106,276,1478,0,0,0,0,959,860,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,89,91,0,0,0,0,540,564,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43525,301910,173285,205098,0,0,0,0,0
118857,896910,437792,483059,0,0,0,0,471,13474,13266,0,0,0,0,107457,107000,0,0,0,0,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,281,1464,0,0,0,0,951,867,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,97,96,0,0,0,0,569,575,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48906,300192,173379,205242,0,0,0,0,0
135987,882410,436894,482975,0,0,0,0,498,15287,15199,0,0,0,0,105176,104847,0,0,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,285,1457,0,0,0,0,943,877,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,112,103,0,0,0,0,546,526,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54979,294654,172482,203612,0,0,0,0,0
156484,862937,436656,482209,0,0,0,0,586,17839,17622,0,0,0,0,103223,101519,0,0,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,285,1457,0,0,0,0,931,891,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,126,149,0,0,0,0,531,517,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63106,289135,171749,201062,0,0,0,0,0
179889,843743,438136,483155,0,0,0,0,678,20366,20162,0,0,0,0,101445,100451,0,0,0,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,294,1434,0,0,0,0,915,903,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,130,138,0,0,0,0,534,535,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71866,286091,172295,201701,0,0,0,0,0
205442,819173,435908,482585,0,0,0,0,748,23125,23317,0,0,0,0,97850,96898,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,304,1420,0,0,0,0,897,922,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,153,147,0,0,0,0,482,508,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81115,278095,170130,199170,0,0,0,0,0
233080,794270,437331,481606,0,0,0,0,846,26534,26018,0,0,0,0,95434,93760,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,312,1413,0,0,0,0,882,936,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,177,162,0,0,0,0,518,507,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90983,271598,170142,197658,0,0,0,0,0
