Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 46.00 degrees [A] RIGHT WP at 46.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96973,923280,451435,479051,0,0,0,0,395,11265,10868,0,0,0,0,113548,108901,0,0,0,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,271,1478,0,0,0,0,962,843,0,0,0,0,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,79,80,0,0,0,0,608,551,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40733,311457,179479,205885,0,0,0,0,0
95789,924306,451965,477666,0,0,0,0,411,11223,10660,0,0,0,0,114832,108409,0,0,0,0,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,271,1478,0,0,0,0,963,844,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,88,78,0,0,0,0,554,564,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40334,313028,180830,205266,0,0,0,0,0
99581,924419,450925,478469,0,0,0,0,412,11393,11036,0,0,0,0,114323,108908,0,0,0,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,272,1472,0,0,0,0,962,842,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,96,86,0,0,0,0,578,577,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41368,312939,180476,206220,0,0,0,0,0
107717,915032,451309,477176,0,0,0,0,410,12429,12026,0,0,0,0,113268,107733,0,0,0,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,274,1470,0,0,0,0,957,847,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,112,82,0,0,0,0,577,568,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44894,310839,180101,204728,0,0,0,0,0
120207,904316,451626,478942,0,0,0,0,475,14225,13235,0,0,0,0,111710,106544,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,275,1460,0,0,0,0,951,855,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,103,103,0,0,0,0,577,541,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49599,307496,179838,204426,0,0,0,0,0
136571,892059,451973,478395,0,0,0,0,527,15929,15033,0,0,0,0,110174,104791,0,0,0,0,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,279,1456,0,0,0,0,940,866,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,114,101,0,0,0,0,584,591,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56123,303573,179267,203140,0,0,0,0,0
157283,872380,452241,477836,0,0,0,0,613,18351,17236,0,0,0,0,108261,102155,0,0,0,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,288,1445,0,0,0,0,929,876,0,0,0,0,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,118,128,0,0,0,0,533,549,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63663,298477,179033,201500,0,0,0,0,0
180652,852837,452701,478104,0,0,0,0,685,21101,19919,0,0,0,0,106100,100346,0,0,0,0,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,290,1435,0,0,0,0,913,892,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,138,145,0,0,0,0,524,524,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72690,294137,178932,201344,0,0,0,0,0
206628,828504,450666,478748,0,0,0,0,709,24151,22881,0,0,0,0,102409,97640,0,0,0,0,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,295,1421,0,0,0,0,895,911,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,165,132,0,0,0,0,541,474,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82484,286168,177146,200231,0,0,0,0,0
234984,803820,451546,478742,0,0,0,0,828,27018,26009,0,0,0,0,99852,95217,0,0,0,0,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,304,1408,0,0,0,0,877,928,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,170,147,0,0,0,0,522,427,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92372,280562,177035,199710,0,0,0,0,0
264009,778330,452055,477830,0,0,0,0,857,30529,28790,0,0,0,0,96619,91897,0,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,311,1394,0,0,0,0,858,943,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,198,178,0,0,0,0,484,483,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102503,272784,176294,197219,0,0,0,0,0
294509,750178,451506,477388,0,0,0,0,983,34414,32940,0,0,0,0,93774,88738,0,0,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,322,1375,0,0,0,0,844,965,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,230,211,0,0,0,0,461,502,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114255,266282,176831,197916,0,0,0,0,0
325650,724622,451692,477948,0,0,0,0,1103,37901,36547,0,0,0,0,90224,85085,0,0,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,331,1355,0,0,0,0,823,984,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,215,237,0,0,0,0,480,464,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125258,257549,175861,196688,0,0,0,0,0
356077,694096,451704,478430,0,0,0,0,1135,41237,40339,0,0,0,0,87146,82016,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,342,1340,0,0,0,0,801,1004,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,254,233,0,0,0,0,447,436,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135699,250338,175446,196749,0,0,0,0,0
386022,666320,451763,478191,0,0,0,0,1121,45012,43387,0,0,0,0,82993,79146,0,0,0,0,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,355,1321,0,0,0,0,780,1023,0,0,0,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,261,258,0,0,0,0,446,419,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145391,241277,175123,195880,0,0,0,0,0
414969,638711,452461,477747,0,0,0,0,1172,48323,46611,0,0,0,0,79708,75603,0,0,0,0,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,364,1307,0,0,0,0,763,1043,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,304,289,0,0,0,0,443,392,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154486,232655,174486,195151,0,0,0,0,0
441358,614955,450783,478740,0,0,0,0,1164,52650,50850,0,0,0,0,75253,70908,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,378,1285,0,0,0,0,737,1074,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,325,303,0,0,0,0,395,361,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166394,221407,173720,193579,0,0,0,0,0
465871,592114,451203,478444,0,0,0,0,1233,55934,53463,0,0,0,0,73059,68089,0,0,0,0,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,387,1271,0,0,0,0,722,1092,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,312,282,0,0,0,0,385,370,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174507,214950,175030,193596,0,0,0,0,0
494746,563817,451887,477592,0,0,0,0,1312,58137,56198,0,0,0,0,70401,65958,0,0,0,0,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,396,1257,0,0,0,0,712,1104,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,314,303,0,0,0,0,344,384,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181549,208441,174474,194134,0,0,0,0,0
512559,548741,451310,477287,0,0,0,0,1383,59900,58170,0,0,0,0,68312,64250,0,0,0,0,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,403,1245,0,0,0,0,696,1116,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,335,283,0,0,0,0,377,361,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186528,203746,174263,193995,0,0,0,0,0
526463,535164,452103,478460,0,0,0,0,1261,62318,59586,0,0,0,0,66438,62818,0,0,0,0,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,408,1237,0,0,0,0,686,1127,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,328,362,0,0,0,0,361,375,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191278,199850,174479,194068,0,0,0,0,0
