Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 50.00 degrees [A] RIGHT WP at 50.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96217,926279,481442,446082,0,0,0,0,405,12058,10094,0,0,0,0,121692,102549,0,0,0,0,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,269,1443,0,0,0,0,944,814,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,92,69,0,0,0,0,663,553,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40833,319987,189538,192896,0,0,0,0,0
96126,924512,482201,444440,0,0,0,0,370,11974,9993,0,0,0,0,122946,101660,0,0,0,0,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,265,1445,0,0,0,0,940,814,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,101,87,0,0,0,0,620,530,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40491,321248,190210,191569,0,0,0,0,0
99581,922761,481958,445255,0,0,0,0,436,12426,10247,0,0,0,0,121814,101287,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,263,1442,0,0,0,0,942,816,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,98,88,0,0,0,0,610,503,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41802,319227,189495,190892,0,0,0,0,0
107557,917315,481936,445281,0,0,0,0,451,13305,11215,0,0,0,0,121137,100994,0,0,0,0,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,265,1442,0,0,0,0,938,817,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,97,96,0,0,0,0,608,494,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45023,318333,189370,191299,0,0,0,0,0
119578,904034,482339,444543,0,0,0,0,474,14992,12219,0,0,0,0,119868,99244,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101,265,1432,0,0,0,0,931,827,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,100,115,0,0,0,0,614,521,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49359,314444,189216,189997,0,0,0,0,0
136009,889918,482435,444550,0,0,0,0,564,16717,13960,0,0,0,0,117616,97768,0,0,0,0,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,266,1429,0,0,0,0,919,834,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,113,111,0,0,0,0,604,511,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55295,310118,187898,189173,0,0,0,0,0
155327,874351,481482,445180,0,0,0,0,621,18996,15706,0,0,0,0,115800,96683,0,0,0,0,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,273,1423,0,0,0,0,910,848,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,129,120,0,0,0,0,555,501,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62380,306553,188077,189022,0,0,0,0,0
178952,852860,482374,445457,0,0,0,0,678,22234,18409,0,0,0,0,113256,94083,0,0,0,0,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,277,1405,0,0,0,0,893,860,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,168,134,0,0,0,0,581,470,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72448,300497,187701,188119,0,0,0,0,0
204982,829491,482372,444668,0,0,0,0,793,25357,21161,0,0,0,0,110789,91319,0,0,0,0,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,287,1390,0,0,0,0,879,880,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,161,153,0,0,0,0,548,499,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82170,294481,187164,187135,0,0,0,0,0
231763,807251,482309,444718,0,0,0,0,871,28589,24113,0,0,0,0,107436,89356,0,0,0,0,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,294,1379,0,0,0,0,860,891,0,0,0,0,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,195,148,0,0,0,0,558,452,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91979,288118,186613,187036,0,0,0,0,0
