Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 54.00 degrees [A] RIGHT WP at 54.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96146,921167,524151,397380,0,0,0,0,404,13123,9070,0,0,0,0,132621,90836,0,0,0,0,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,255,1397,0,0,0,0,916,779,0,0,0,0,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,112,84,0,0,0,0,594,496,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40774,329115,200602,170411,0,0,0,0,0
95049,922007,524917,395608,0,0,0,0,412,12842,8940,0,0,0,0,132702,89921,0,0,0,0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,256,1403,0,0,0,0,913,773,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,106,71,0,0,0,0,695,494,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40041,327913,199777,169343,0,0,0,0,0
99264,919698,523561,396713,0,0,0,0,389,13411,9045,0,0,0,0,132580,90464,0,0,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,257,1407,0,0,0,0,915,776,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,107,67,0,0,0,0,638,468,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41639,328306,200682,169817,0,0,0,0,0
107640,913336,526612,397255,0,0,0,0,425,14723,10120,0,0,0,0,131652,89630,0,0,0,0,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,256,1402,0,0,0,0,907,786,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,106,78,0,0,0,0,648,504,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45399,326488,200763,169834,0,0,0,0,0
119884,902496,524441,396716,0,0,0,0,445,16334,11109,0,0,0,0,129857,88698,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,259,1391,0,0,0,0,903,789,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,118,84,0,0,0,0,641,471,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49791,322884,199770,169492,0,0,0,0,0
135308,888220,524174,396420,0,0,0,0,529,18358,12515,0,0,0,0,127911,87101,0,0,0,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,258,1385,0,0,0,0,891,797,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,139,94,0,0,0,0,666,444,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56171,318432,199460,167734,0,0,0,0,0
156421,869271,525163,396350,0,0,0,0,626,21324,14708,0,0,0,0,125637,85465,0,0,0,0,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,266,1376,0,0,0,0,880,810,0,0,0,0,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,162,113,0,0,0,0,656,440,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64629,313586,199532,168096,0,0,0,0,0
180478,847327,524282,396846,0,0,0,0,710,24544,16693,0,0,0,0,122856,83256,0,0,0,0,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,270,1366,0,0,0,0,863,826,0,0,0,0,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,159,129,0,0,0,0,647,434,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73496,307063,199055,167119,0,0,0,0,0
205544,826840,524998,395974,0,0,0,0,746,28209,19191,0,0,0,0,119027,80662,0,0,0,0,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,276,1348,0,0,0,0,850,840,0,0,0,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,207,133,0,0,0,0,584,468,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83300,299250,198414,165131,0,0,0,0,0
234183,800318,523787,396447,0,0,0,0,850,31580,21924,0,0,0,0,116666,79191,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,282,1337,0,0,0,0,832,858,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,217,159,0,0,0,0,643,413,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94021,293759,198589,166894,0,0,0,0,0
