Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 56.00 degrees [A] RIGHT WP at 56.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95545,914095,545001,365804,0,0,0,0,400,13560,8247,0,0,0,0,136809,82804,0,0,0,0,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,256,1375,0,0,0,0,897,755,0,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,92,77,0,0,0,0,710,480,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40219,328862,203306,155560,0,0,0,0,0
94361,915191,544169,365159,0,0,0,0,372,13244,8267,0,0,0,0,137362,83358,0,0,0,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,250,1376,0,0,0,0,898,754,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,83,63,0,0,0,0,688,438,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39862,330428,203482,156508,0,0,0,0,0
97917,911669,543453,366011,0,0,0,0,410,14131,8475,0,0,0,0,136756,82966,0,0,0,0,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,250,1370,0,0,0,0,894,754,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,117,79,0,0,0,0,681,445,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41560,328824,204049,156328,0,0,0,0,0
107093,905826,544648,365231,0,0,0,0,416,15315,9040,0,0,0,0,135257,82332,0,0,0,0,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,254,1369,0,0,0,0,890,758,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,107,84,0,0,0,0,703,444,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44875,326227,203100,155536,0,0,0,0,0
119042,894664,544060,365469,0,0,0,0,492,16916,10360,0,0,0,0,134024,81075,0,0,0,0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,252,1372,0,0,0,0,883,770,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,122,85,0,0,0,0,728,430,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50026,322851,203154,155237,0,0,0,0,0
135106,879065,543789,365040,0,0,0,0,504,19200,11902,0,0,0,0,132000,79333,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,258,1357,0,0,0,0,873,777,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,126,97,0,0,0,0,661,422,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56280,318196,202783,154069,0,0,0,0,0
156137,861908,545184,365645,0,0,0,0,597,22275,13524,0,0,0,0,129653,78040,0,0,0,0,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,261,1350,0,0,0,0,860,790,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,140,107,0,0,0,0,657,468,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64440,313569,203100,153726,0,0,0,0,0
179522,842140,545451,366181,0,0,0,0,689,25713,15552,0,0,0,0,127209,76640,0,0,0,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,264,1344,0,0,0,0,845,802,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,156,111,0,0,0,0,683,396,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74198,308779,203066,153849,0,0,0,0,0
204882,819122,545261,365427,0,0,0,0,712,29419,17881,0,0,0,0,124072,74092,0,0,0,0,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,273,1326,0,0,0,0,829,818,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,183,120,0,0,0,0,628,411,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83940,301139,203431,152465,0,0,0,0,0
233915,793798,546146,365874,0,0,0,0,851,33577,20223,0,0,0,0,119362,71778,0,0,0,0,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,276,1307,0,0,0,0,811,837,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,219,156,0,0,0,0,621,395,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94516,291637,201879,151746,0,0,0,0,0
