Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 58.00 degrees [A] RIGHT WP at 58.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95465,919230,562227,352074,0,0,0,0,393,14520,7772,0,0,0,0,146037,77101,0,0,0,0,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,244,1345,0,0,0,0,879,726,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,107,65,0,0,0,0,743,411,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41358,340759,212985,144784,0,0,0,0,0
94999,918670,576139,339498,0,0,0,0,368,14117,7581,0,0,0,0,146344,77233,0,0,0,0,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,247,1351,0,0,0,0,883,728,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,108,74,0,0,0,0,754,430,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40177,341049,213098,145044,0,0,0,0,0
98683,917169,576463,338145,0,0,0,0,402,14810,7976,0,0,0,0,146169,77385,0,0,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,246,1358,0,0,0,0,880,729,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,101,64,0,0,0,0,689,470,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42213,341383,213577,145410,0,0,0,0,0
107071,909410,575533,339523,0,0,0,0,450,16289,8541,0,0,0,0,144726,77029,0,0,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,249,1342,0,0,0,0,873,732,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,110,84,0,0,0,0,697,429,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45850,338882,213724,145055,0,0,0,0,0
119856,898902,576727,339406,0,0,0,0,479,18030,9600,0,0,0,0,143945,75909,0,0,0,0,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209,251,1340,0,0,0,0,867,740,0,0,0,0,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,123,67,0,0,0,0,676,405,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50544,336484,214168,145131,0,0,0,0,0
136674,884795,577609,339691,0,0,0,0,533,20538,11218,0,0,0,0,140724,74613,0,0,0,0,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,251,1335,0,0,0,0,858,751,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,147,81,0,0,0,0,679,379,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57745,330027,212608,144945,0,0,0,0,0
156781,866430,574823,339338,0,0,0,0,575,23827,12797,0,0,0,0,138028,73242,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,257,1324,0,0,0,0,846,762,0,0,0,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,156,88,0,0,0,0,729,394,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66212,324357,212870,144449,0,0,0,0,0
181222,847113,577488,338882,0,0,0,0,646,27423,14579,0,0,0,0,134626,71545,0,0,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,258,1314,0,0,0,0,830,777,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,178,93,0,0,0,0,659,382,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75147,317565,212418,143678,0,0,0,0,0
206867,823000,576643,339444,0,0,0,0,757,31365,16541,0,0,0,0,131525,69453,0,0,0,0,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108,264,1295,0,0,0,0,814,795,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,178,128,0,0,0,0,664,386,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85550,310343,212239,143104,0,0,0,0,0
235832,799591,575612,338985,0,0,0,0,859,35272,19274,0,0,0,0,127450,67344,0,0,0,0,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,273,1281,0,0,0,0,797,807,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,212,123,0,0,0,0,681,398,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96233,302297,211687,142709,0,0,0,0,0
265506,771312,578263,337909,0,0,0,0,918,40238,21528,0,0,0,0,123690,64977,0,0,0,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,277,1269,0,0,0,0,778,826,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,243,127,0,0,0,0,614,360,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108286,293441,212519,142210,0,0,0,0,0
295269,743418,576095,339319,0,0,0,0,991,44895,24260,0,0,0,0,118880,62715,0,0,0,0,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,286,1252,0,0,0,0,760,850,0,0,0,0,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,259,155,0,0,0,0,600,342,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119638,284224,211908,141702,0,0,0,0,0
328080,715444,576862,339259,0,0,0,0,1069,49941,26615,0,0,0,0,114717,60520,0,0,0,0,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,297,1231,0,0,0,0,739,866,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,286,169,0,0,0,0,558,340,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132028,274967,212153,141665,0,0,0,0,0
358600,687234,578114,339001,0,0,0,0,1107,54397,29572,0,0,0,0,110315,58027,0,0,0,0,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,303,1216,0,0,0,0,719,887,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,301,180,0,0,0,0,581,309,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143098,265871,212080,141472,0,0,0,0,0
387663,659573,578038,338725,0,0,0,0,1099,58608,30924,0,0,0,0,106972,55301,0,0,0,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,311,1196,0,0,0,0,702,904,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,387,209,0,0,0,0,568,327,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152681,256688,211850,139835,0,0,0,0,0
416597,634413,578348,339547,0,0,0,0,1203,63032,33882,0,0,0,0,101878,53561,0,0,0,0,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106,320,1182,0,0,0,0,682,926,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,357,205,0,0,0,0,520,280,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163122,247438,211744,140575,0,0,0,0,0
439917,611341,577993,339527,0,0,0,0,1190,65836,35886,0,0,0,0,98790,51831,0,0,0,0,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,328,1168,0,0,0,0,665,942,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,366,194,0,0,0,0,479,282,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170995,239998,211105,140741,0,0,0,0,0
465143,590040,577918,340228,0,0,0,0,1204,70732,38064,0,0,0,0,95361,50006,0,0,0,0,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,337,1155,0,0,0,0,654,963,0,0,0,0,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,383,195,0,0,0,0,502,270,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181455,232776,212881,141281,0,0,0,0,0
492885,563626,578171,340039,0,0,0,0,1282,75313,40546,0,0,0,0,90501,47779,0,0,0,0,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,348,1134,0,0,0,0,632,982,0,0,0,0,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,397,212,0,0,0,0,447,265,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191755,222556,212700,141377,0,0,0,0,0
511708,545564,577798,339730,0,0,0,0,1236,78135,41934,0,0,0,0,87603,46289,0,0,0,0,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,352,1124,0,0,0,0,618,995,0,0,0,0,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,398,246,0,0,0,0,467,238,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198316,215635,212383,141638,0,0,0,0,0
524760,531346,576576,339858,0,0,0,0,1242,79651,43294,0,0,0,0,85272,44856,0,0,0,0,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,359,1111,0,0,0,0,611,1005,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,492,279,0,0,0,0,520,340,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201990,210866,211251,141204,0,0,0,0,0
535484,523101,577853,339928,0,0,0,0,1244,81283,43929,0,0,0,0,83806,44100,0,0,0,0,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,363,1111,0,0,0,0,604,1007,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,434,263,0,0,0,0,430,272,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205508,207294,211597,140953,0,0,0,0,0
541535,518199,579053,340478,0,0,0,0,1293,82329,44416,0,0,0,0,83888,43553,0,0,0,0,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,365,1105,0,0,0,0,601,1014,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,435,243,0,0,0,0,452,233,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208309,206353,212714,141380,0,0,0,0,0
543817,514719,579773,340158,0,0,0,0,1240,83059,44872,0,0,0,0,82818,43698,0,0,0,0,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,365,1101,0,0,0,0,599,1023,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,448,240,0,0,0,0,489,269,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209950,205210,212718,141539,0,0,0,0,0
541224,516328,578381,340121,0,0,0,0,1272,82031,44497,0,0,0,0,83348,43676,0,0,0,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,365,1109,0,0,0,0,599,1018,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,452,254,0,0,0,0,456,248,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207801,205780,212247,140883,0,0,0,0,0
535463,521802,578154,340146,0,0,0,0,1195,81797,44237,0,0,0,0,83898,43700,0,0,0,0,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,367,1105,0,0,0,0,603,1015,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,480,253,0,0,0,0,503,255,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206491,206695,212255,141442,0,0,0,0,0
526789,529925,579929,340573,0,0,0,0,1263,80143,43673,0,0,0,0,84997,44604,0,0,0,0,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,361,1111,0,0,0,0,606,1009,0,0,0,0,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,409,244,0,0,0,0,480,265,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203348,210093,211690,141119,0,0,0,0,0
513001,544395,580189,340903,0,0,0,0,1295,78401,42575,0,0,0,0,87176,46173,0,0,0,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,358,1125,0,0,0,0,617,1000,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,448,264,0,0,0,0,459,266,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199557,214875,212344,142421,0,0,0,0,0
495533,560081,578961,340515,0,0,0,0,1230,75806,41295,0,0,0,0,89856,47311,0,0,0,0,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,353,1128,0,0,0,0,630,987,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,440,271,0,0,0,0,481,264,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193591,220573,212615,142080,0,0,0,0,0
475900,579004,579422,340752,0,0,0,0,1233,71798,38689,0,0,0,0,94450,49375,0,0,0,0,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,342,1146,0,0,0,0,646,966,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,369,236,0,0,0,0,501,288,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183951,230771,212931,141378,0,0,0,0,0
452298,599711,579602,341290,0,0,0,0,1266,67916,36734,0,0,0,0,97927,51593,0,0,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101,334,1159,0,0,0,0,663,951,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,345,226,0,0,0,0,512,340,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175418,238809,212737,141643,0,0,0,0,0
