Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 60.00 degrees [A] RIGHT WP at 60.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96712,925342,598780,321572,0,0,0,0,410,14893,7458,0,0,0,0,152301,74986,0,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195,245,1339,0,0,0,0,875,710,0,0,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,104,70,0,0,0,0,825,459,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41533,350259,219933,140924,0,0,0,0,0
95725,925505,610119,310114,0,0,0,0,393,15302,7005,0,0,0,0,155722,71395,0,0,0,0,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224,240,1323,0,0,0,0,867,699,0,0,0,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,115,68,0,0,0,0,788,415,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41637,353504,222683,133972,0,0,0,0,0
97684,923914,608266,309990,0,0,0,0,428,15689,7249,0,0,0,0,155269,71029,0,0,0,0,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,243,1323,0,0,0,0,865,699,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,106,68,0,0,0,0,772,384,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42703,352214,222786,133686,0,0,0,0,0
104216,918606,609268,310518,0,0,0,0,424,17077,7881,0,0,0,0,153433,70830,0,0,0,0,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,241,1326,0,0,0,0,860,705,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,120,69,0,0,0,0,740,383,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46260,349202,222117,133728,0,0,0,0,0
115053,909174,608556,309985,0,0,0,0,494,19198,8774,0,0,0,0,151775,70002,0,0,0,0,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,248,1318,0,0,0,0,853,709,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,131,68,0,0,0,0,765,362,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51708,345795,222394,133423,0,0,0,0,0
137303,891490,610872,310557,0,0,0,0,550,21917,10211,0,0,0,0,150496,68907,0,0,0,0,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,246,1303,0,0,0,0,842,720,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,138,67,0,0,0,0,694,380,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59049,342723,223398,133508,0,0,0,0,0
158111,872884,609455,309558,0,0,0,0,645,25709,11590,0,0,0,0,147805,67448,0,0,0,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,250,1291,0,0,0,0,829,731,0,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,183,87,0,0,0,0,716,373,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67878,337147,223930,132880,0,0,0,0,0
182203,849191,607943,309693,0,0,0,0,680,29233,13540,0,0,0,0,143090,65552,0,0,0,0,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,256,1280,0,0,0,0,815,747,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,187,93,0,0,0,0,710,357,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76987,327505,221862,132230,0,0,0,0,0
208250,828091,609429,308920,0,0,0,0,751,33309,15499,0,0,0,0,140003,63611,0,0,0,0,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,259,1264,0,0,0,0,799,760,0,0,0,0,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,197,113,0,0,0,0,731,374,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87664,319980,222482,131689,0,0,0,0,0
237384,799158,607978,308154,0,0,0,0,863,38190,17425,0,0,0,0,134396,61133,0,0,0,0,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,264,1258,0,0,0,0,779,781,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,241,141,0,0,0,0,664,329,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98924,308635,220572,130031,0,0,0,0,0
