Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 62.00 degrees [A] RIGHT WP at 62.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96573,921940,634488,277250,0,0,0,0,412,15697,6485,0,0,0,0,160865,64184,0,0,0,0,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,237,1308,0,0,0,0,848,677,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,113,83,0,0,0,0,796,380,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41581,356752,226603,120156,0,0,0,0,0
95184,921878,635406,276075,0,0,0,0,407,15754,6271,0,0,0,0,162186,63550,0,0,0,0,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,235,1304,0,0,0,0,848,673,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,109,51,0,0,0,0,786,336,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41099,358854,227679,119077,0,0,0,0,0
98703,917959,635472,277146,0,0,0,0,427,16292,6451,0,0,0,0,160766,62818,0,0,0,0,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,237,1301,0,0,0,0,844,675,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,129,48,0,0,0,0,781,345,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42439,355369,226164,118310,0,0,0,0,0
106291,914486,635950,276553,0,0,0,0,441,17689,6931,0,0,0,0,161460,62811,0,0,0,0,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,237,1292,0,0,0,0,841,678,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,113,65,0,0,0,0,798,394,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45998,357019,228458,118847,0,0,0,0,0
117232,902111,634304,276376,0,0,0,0,435,19204,7563,0,0,0,0,158828,62130,0,0,0,0,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234,240,1297,0,0,0,0,835,684,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,134,74,0,0,0,0,777,371,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49695,351187,227030,118747,0,0,0,0,0
133308,891343,634655,277445,0,0,0,0,522,21934,8718,0,0,0,0,156211,61664,0,0,0,0,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,242,1286,0,0,0,0,827,692,0,0,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,166,93,0,0,0,0,782,358,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56517,346796,227186,118942,0,0,0,0,0
151887,873082,636629,276281,0,0,0,0,587,24865,9905,0,0,0,0,154393,60102,0,0,0,0,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,243,1273,0,0,0,0,814,703,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,158,75,0,0,0,0,770,325,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64174,341611,227612,118042,0,0,0,0,0
174952,851637,634140,277208,0,0,0,0,616,28808,11469,0,0,0,0,150052,58852,0,0,0,0,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,248,1261,0,0,0,0,802,718,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,210,100,0,0,0,0,721,329,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73183,333724,227030,117611,0,0,0,0,0
198754,831959,634864,276540,0,0,0,0,713,33002,12977,0,0,0,0,146538,57494,0,0,0,0,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,251,1250,0,0,0,0,787,730,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,209,99,0,0,0,0,683,314,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82911,326586,227094,117667,0,0,0,0,0
235400,798108,635529,277383,0,0,0,0,818,39700,15684,0,0,0,0,141081,55055,0,0,0,0,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,260,1228,0,0,0,0,760,756,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,234,122,0,0,0,0,693,332,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99106,314911,227452,117610,0,0,0,0,0
