Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 64.00 degrees [A] RIGHT WP at 64.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95282,911933,643690,256724,0,0,0,0,357,16412,5680,0,0,0,0,166810,55036,0,0,0,0,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205,233,1261,0,0,0,0,825,653,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,109,57,0,0,0,0,832,314,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41487,360081,229801,103604,0,0,0,0,0
94242,914340,659446,241344,0,0,0,0,360,16162,5439,0,0,0,0,166946,55054,0,0,0,0,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,235,1268,0,0,0,0,827,651,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,119,52,0,0,0,0,835,304,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40597,360650,229420,103167,0,0,0,0,0
98141,910931,659296,242285,0,0,0,0,390,17305,5596,0,0,0,0,166779,54895,0,0,0,0,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,232,1265,0,0,0,0,825,651,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,143,52,0,0,0,0,827,335,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42899,359966,230639,103264,0,0,0,0,0
106370,904644,660549,241157,0,0,0,0,403,18410,6153,0,0,0,0,166429,54489,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,235,1254,0,0,0,0,820,655,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,133,65,0,0,0,0,817,316,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46062,358869,231300,103346,0,0,0,0,0
119091,894145,658977,241356,0,0,0,0,487,20721,6868,0,0,0,0,164534,53736,0,0,0,0,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,238,1256,0,0,0,0,813,661,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,150,65,0,0,0,0,854,330,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51630,354906,231280,103138,0,0,0,0,0
135911,880476,658416,241637,0,0,0,0,534,23506,7920,0,0,0,0,160664,52663,0,0,0,0,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,236,1246,0,0,0,0,802,674,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,157,75,0,0,0,0,772,257,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58134,346777,229835,102873,0,0,0,0,0
157162,862023,659370,241428,0,0,0,0,620,27393,8958,0,0,0,0,158251,52101,0,0,0,0,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,243,1244,0,0,0,0,792,682,0,0,0,0,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,175,67,0,0,0,0,764,312,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67263,342422,231178,102930,0,0,0,0,0
179708,841724,658834,242669,0,0,0,0,652,31162,10413,0,0,0,0,154712,50627,0,0,0,0,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,245,1227,0,0,0,0,775,701,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,200,76,0,0,0,0,761,290,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76071,334866,231055,102547,0,0,0,0,0
205406,818169,658671,241562,0,0,0,0,818,36071,11939,0,0,0,0,149910,49359,0,0,0,0,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,247,1213,0,0,0,0,760,713,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,212,94,0,0,0,0,746,284,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87305,325786,230920,102159,0,0,0,0,0
235131,794255,659914,242354,0,0,0,0,859,41039,13655,0,0,0,0,146245,47798,0,0,0,0,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,255,1196,0,0,0,0,745,732,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,252,110,0,0,0,0,720,291,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98600,317452,232049,102464,0,0,0,0,0
