Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 66.00 degrees [A] RIGHT WP at 66.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96386,919881,694756,211984,0,0,0,0,411,17512,4847,0,0,0,0,177703,48833,0,0,0,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,234,1233,0,0,0,0,810,620,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,133,46,0,0,0,0,871,303,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42210,375707,240076,91756,0,0,0,0,0
95202,919985,695550,211994,0,0,0,0,371,17355,4919,0,0,0,0,178073,48465,0,0,0,0,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,231,1240,0,0,0,0,809,620,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,132,55,0,0,0,0,882,321,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42047,375432,240041,91901,0,0,0,0,0
98780,919800,694970,212324,0,0,0,0,437,18078,5076,0,0,0,0,177520,48885,0,0,0,0,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,232,1229,0,0,0,0,810,622,0,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,124,55,0,0,0,0,841,291,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43686,375398,240182,92503,0,0,0,0,0
107838,912196,696036,212585,0,0,0,0,419,19728,5515,0,0,0,0,177077,48375,0,0,0,0,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,230,1233,0,0,0,0,804,627,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,147,54,0,0,0,0,861,268,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47431,374192,241556,92040,0,0,0,0,0
119717,901808,695190,212866,0,0,0,0,484,21911,6224,0,0,0,0,174214,47848,0,0,0,0,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,232,1222,0,0,0,0,797,632,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,147,53,0,0,0,0,834,262,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52892,368263,240622,92121,0,0,0,0,0
136444,887068,695110,212242,0,0,0,0,568,25366,7085,0,0,0,0,171492,47171,0,0,0,0,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,233,1223,0,0,0,0,785,642,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,165,64,0,0,0,0,829,278,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60227,363039,241551,91980,0,0,0,0,0
157052,867972,696438,211234,0,0,0,0,621,28961,8043,0,0,0,0,168957,45891,0,0,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,237,1212,0,0,0,0,772,651,0,0,0,0,1221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,189,69,0,0,0,0,798,251,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68759,357017,241878,91456,0,0,0,0,0
181107,848463,696248,212349,0,0,0,0,626,33026,9405,0,0,0,0,164732,45227,0,0,0,0,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,238,1194,0,0,0,0,759,669,0,0,0,0,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,196,75,0,0,0,0,811,265,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78568,348610,241976,91698,0,0,0,0,0
207581,826498,696063,211651,0,0,0,0,781,38000,10755,0,0,0,0,160084,43367,0,0,0,0,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,242,1184,0,0,0,0,745,681,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,205,82,0,0,0,0,781,290,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89181,338848,241844,90739,0,0,0,0,0
236610,799183,696584,212750,0,0,0,0,844,43435,12293,0,0,0,0,155938,42384,0,0,0,0,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,250,1168,0,0,0,0,725,701,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,259,87,0,0,0,0,764,246,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101507,330261,243236,91282,0,0,0,0,0
265866,772723,695277,212677,0,0,0,0,922,48735,13955,0,0,0,0,149979,40908,0,0,0,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,253,1159,0,0,0,0,707,718,0,0,0,0,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,291,99,0,0,0,0,710,223,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113334,318278,242240,91329,0,0,0,0,0
297063,743656,696130,212262,0,0,0,0,972,54408,15337,0,0,0,0,144861,39471,0,0,0,0,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,258,1134,0,0,0,0,687,739,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,344,115,0,0,0,0,726,221,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125463,307693,242681,91003,0,0,0,0,0
