Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 70.00 degrees [A] RIGHT WP at 70.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96897,922410,747461,155243,0,0,0,0,409,19015,3648,0,0,0,0,192003,35856,0,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,225,1180,0,0,0,0,780,571,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,129,44,0,0,0,0,940,225,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43494,392126,250300,68234,0,0,0,0,0
94701,922166,749974,152722,0,0,0,0,379,18899,3388,0,0,0,0,192816,35369,0,0,0,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,225,1175,0,0,0,0,777,564,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,128,38,0,0,0,0,928,220,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42734,393685,250717,66806,0,0,0,0,0
98218,918763,748582,153473,0,0,0,0,407,19393,3604,0,0,0,0,192167,35306,0,0,0,0,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,227,1184,0,0,0,0,778,570,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,142,39,0,0,0,0,945,217,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44081,392472,250358,67047,0,0,0,0,0
106198,913628,748597,152455,0,0,0,0,398,20601,3910,0,0,0,0,190675,34567,0,0,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,224,1170,0,0,0,0,773,572,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,141,36,0,0,0,0,928,207,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47187,388305,249894,66468,0,0,0,0,0
118864,903971,748926,152901,0,0,0,0,454,23306,4332,0,0,0,0,188739,34693,0,0,0,0,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,228,1168,0,0,0,0,769,579,0,0,0,0,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,151,48,0,0,0,0,911,206,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52770,385447,251053,66669,0,0,0,0,0
134705,891051,750072,153338,0,0,0,0,601,26269,5050,0,0,0,0,186780,34085,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,230,1170,0,0,0,0,758,585,0,0,0,0,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,185,46,0,0,0,0,910,211,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59720,380901,252003,66932,0,0,0,0,0
155278,871980,748727,152997,0,0,0,0,576,30477,5751,0,0,0,0,182201,33211,0,0,0,0,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,235,1156,0,0,0,0,746,598,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,205,68,0,0,0,0,919,203,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68385,371498,251698,66476,0,0,0,0,0
175988,854950,751526,153663,0,0,0,0,663,34403,6538,0,0,0,0,179381,32858,0,0,0,0,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,233,1141,0,0,0,0,733,607,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,226,59,0,0,0,0,941,206,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76879,366036,253091,66815,0,0,0,0,0
201138,830376,747539,153717,0,0,0,0,760,39391,7385,0,0,0,0,173740,31802,0,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,237,1131,0,0,0,0,718,621,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,242,69,0,0,0,0,840,192,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87311,354106,252458,66588,0,0,0,0,0
228847,806381,748596,153286,0,0,0,0,819,44993,8334,0,0,0,0,168660,30777,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,240,1109,0,0,0,0,701,641,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,294,71,0,0,0,0,858,184,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98938,344423,252741,65899,0,0,0,0,0
