Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 74.00 degrees [A] RIGHT WP at 74.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96133,924719,788238,110745,0,0,0,0,363,20058,2678,0,0,0,0,203325,25824,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077,222,1126,0,0,0,0,753,529,0,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,130,40,0,0,0,0,1098,208,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43783,406918,257617,49459,0,0,0,0,0
95424,925408,793993,104202,0,0,0,0,406,19881,2333,0,0,0,0,205368,24119,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,226,1133,0,0,0,0,748,526,0,0,0,0,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,136,30,0,0,0,0,963,175,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43395,409230,258728,45955,0,0,0,0,0
97567,923739,794755,104034,0,0,0,0,405,20455,2375,0,0,0,0,204823,23895,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105,227,1133,0,0,0,0,748,521,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,159,31,0,0,0,0,1049,149,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44426,408268,258421,45661,0,0,0,0,0
108019,914871,793770,103953,0,0,0,0,446,22575,2763,0,0,0,0,203025,23686,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,228,1135,0,0,0,0,745,531,0,0,0,0,1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,176,35,0,0,0,0,974,154,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49134,404324,259018,45855,0,0,0,0,0
120257,905098,794927,104200,0,0,0,0,530,25176,3148,0,0,0,0,200409,23404,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,224,1116,0,0,0,0,738,535,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,151,35,0,0,0,0,971,159,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54726,399002,259468,45652,0,0,0,0,0
138243,890758,796006,104505,0,0,0,0,546,29175,3412,0,0,0,0,196916,23019,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228,227,1108,0,0,0,0,726,548,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,193,37,0,0,0,0,944,172,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62545,391597,260261,45759,0,0,0,0,0
157836,870159,794270,103615,0,0,0,0,629,33041,3823,0,0,0,0,193095,22571,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,231,1095,0,0,0,0,715,555,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,216,41,0,0,0,0,950,153,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70763,383390,260541,45696,0,0,0,0,0
182390,851468,794695,104090,0,0,0,0,707,38337,4697,0,0,0,0,188973,22014,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,230,1096,0,0,0,0,702,564,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,256,51,0,0,0,0,924,154,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81897,375564,262039,45492,0,0,0,0,0
208239,828499,796091,103936,0,0,0,0,803,44056,5331,0,0,0,0,184813,21417,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,233,1074,0,0,0,0,685,584,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,241,43,0,0,0,0,949,144,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93168,366865,264245,45851,0,0,0,0,0
236658,803447,795512,103785,0,0,0,0,822,49999,5893,0,0,0,0,179046,20721,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,234,1064,0,0,0,0,669,597,0,0,0,0,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,287,60,0,0,0,0,1032,154,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105146,354918,264955,45396,0,0,0,0,0
