Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 76.00 degrees [A] RIGHT WP at 76.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96909,924941,812817,84097,0,0,0,0,405,20687,1934,0,0,0,0,209992,19250,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,225,1098,0,0,0,0,743,500,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,155,31,0,0,0,0,1029,134,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44318,414764,261378,37014,0,0,0,0,0
95545,925378,812520,83934,0,0,0,0,384,20434,1893,0,0,0,0,210823,19073,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,229,1113,0,0,0,0,739,503,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,133,34,0,0,0,0,978,131,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43815,416048,261969,36766,0,0,0,0,0
99485,922215,811487,84327,0,0,0,0,403,21243,1999,0,0,0,0,209306,19258,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,223,1110,0,0,0,0,738,507,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,146,30,0,0,0,0,1024,139,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45725,412968,261707,37009,0,0,0,0,0
108085,916174,812853,84033,0,0,0,0,423,23072,2199,0,0,0,0,207664,18857,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,226,1115,0,0,0,0,735,505,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,158,25,0,0,0,0,1006,145,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49428,409505,261760,36667,0,0,0,0,0
120719,905357,811586,84207,0,0,0,0,486,25821,2464,0,0,0,0,206013,18949,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,225,1097,0,0,0,0,730,512,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,155,38,0,0,0,0,987,147,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55334,406138,263204,37235,0,0,0,0,0
137030,891037,810558,84318,0,0,0,0,533,29434,2774,0,0,0,0,201580,18736,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,230,1090,0,0,0,0,719,517,0,0,0,0,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,198,41,0,0,0,0,997,124,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62439,397466,262659,37267,0,0,0,0,0
157284,872433,811324,84786,0,0,0,0,571,33568,3244,0,0,0,0,198738,18385,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,228,1082,0,0,0,0,707,527,0,0,0,0,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,218,35,0,0,0,0,937,142,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71214,391157,264651,37114,0,0,0,0,0
181432,852447,812511,83985,0,0,0,0,678,39006,3653,0,0,0,0,194545,17723,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,230,1069,0,0,0,0,691,544,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,228,38,0,0,0,0,985,120,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82128,382149,266389,36818,0,0,0,0,0
207303,828691,812076,84436,0,0,0,0,784,44547,4217,0,0,0,0,189358,17321,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,232,1060,0,0,0,0,677,556,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,252,46,0,0,0,0,889,132,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93275,371483,267319,37247,0,0,0,0,0
235511,803153,811949,84421,0,0,0,0,835,50592,4770,0,0,0,0,183037,16847,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,236,1038,0,0,0,0,658,572,0,0,0,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,305,53,0,0,0,0,900,116,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105187,358981,267711,37062,0,0,0,0,0
