Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 78.00 degrees [A] RIGHT WP at 78.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
96400,921315,820280,68137,0,0,0,0,421,20729,1551,0,0,0,0,211705,15574,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,226,1100,0,0,0,0,734,489,0,0,0,0,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,143,29,0,0,0,0,1024,118,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43967,415474,261125,30042,0,0,0,0,0
95545,920919,821424,67398,0,0,0,0,389,20632,1506,0,0,0,0,212311,15403,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,226,1088,0,0,0,0,733,485,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,144,19,0,0,0,0,1018,122,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43688,417003,261123,29596,0,0,0,0,0
98849,917860,820722,67720,0,0,0,0,374,21343,1651,0,0,0,0,211477,15355,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,223,1089,0,0,0,0,731,494,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,154,25,0,0,0,0,1024,116,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45273,414802,261185,29959,0,0,0,0,0
106821,912206,821023,68327,0,0,0,0,412,23073,1810,0,0,0,0,209601,15401,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,228,1087,0,0,0,0,726,488,0,0,0,0,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,156,26,0,0,0,0,989,119,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48760,411081,261656,29982,0,0,0,0,0
119034,900468,820207,67799,0,0,0,0,470,25794,1956,0,0,0,0,207466,15038,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,228,1077,0,0,0,0,720,497,0,0,0,0,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,170,24,0,0,0,0,1002,122,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54535,406229,262289,29680,0,0,0,0,0
136556,885799,819657,67451,0,0,0,0,553,29858,2230,0,0,0,0,203645,14846,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,228,1066,0,0,0,0,712,505,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,197,31,0,0,0,0,995,107,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62376,399131,262872,29550,0,0,0,0,0
155416,868516,820423,68178,0,0,0,0,604,33717,2527,0,0,0,0,200725,14634,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,230,1055,0,0,0,0,698,517,0,0,0,0,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,212,36,0,0,0,0,984,110,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70370,392440,264518,29840,0,0,0,0,0
179850,847052,821052,67620,0,0,0,0,693,38970,2892,0,0,0,0,195732,14304,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,230,1048,0,0,0,0,686,528,0,0,0,0,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,263,34,0,0,0,0,927,108,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81209,381882,265303,29852,0,0,0,0,0
203866,827490,821639,68063,0,0,0,0,758,44307,3184,0,0,0,0,191353,14060,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,234,1032,0,0,0,0,671,538,0,0,0,0,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,291,30,0,0,0,0,906,118,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91422,373349,267064,29642,0,0,0,0,0
232180,801626,820719,67687,0,0,0,0,798,50589,3751,0,0,0,0,185079,13467,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,233,1008,0,0,0,0,655,551,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,311,43,0,0,0,0,920,96,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103515,360549,267852,29780,0,0,0,0,0
261487,776035,822065,68030,0,0,0,0,858,57351,4189,0,0,0,0,179821,13067,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,239,1009,0,0,0,0,636,567,0,0,0,0,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,394,47,0,0,0,0,918,91,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116690,349871,270115,29725,0,0,0,0,0
291372,747839,820267,68200,0,0,0,0,918,63626,4841,0,0,0,0,173641,12426,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,242,982,0,0,0,0,619,591,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,371,44,0,0,0,0,868,88,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129353,337413,270628,29546,0,0,0,0,0
