Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 80.00 degrees [A] RIGHT WP at 80.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95903,917260,824415,58045,0,0,0,0,406,20891,1296,0,0,0,0,211757,13292,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,225,1077,0,0,0,0,729,487,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,159,22,0,0,0,0,1034,128,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43902,414140,259584,25739,0,0,0,0,0
95261,918432,825119,56522,0,0,0,0,377,20888,1259,0,0,0,0,212642,12761,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,227,1061,0,0,0,0,729,477,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,146,23,0,0,0,0,993,104,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43682,415908,260023,24661,0,0,0,0,0
97125,917059,826174,56410,0,0,0,0,385,21095,1284,0,0,0,0,212845,12816,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,228,1067,0,0,0,0,728,474,0,0,0,0,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,148,16,0,0,0,0,1099,91,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44433,415910,260744,24733,0,0,0,0,0
104718,911758,825806,55860,0,0,0,0,429,22734,1352,0,0,0,0,210748,12557,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,225,1064,0,0,0,0,726,478,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,162,21,0,0,0,0,979,99,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47749,411411,260242,24493,0,0,0,0,0
116178,901375,825112,56348,0,0,0,0,408,25198,1532,0,0,0,0,209046,12449,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205,228,1071,0,0,0,0,721,487,0,0,0,0,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,202,25,0,0,0,0,1032,105,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52713,407869,261277,24558,0,0,0,0,0
131142,886159,823764,56387,0,0,0,0,524,28580,1715,0,0,0,0,204950,12294,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,227,1046,0,0,0,0,710,493,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,202,25,0,0,0,0,1042,96,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59120,399799,261083,24621,0,0,0,0,0
150316,870082,824855,56257,0,0,0,0,575,34398,2164,0,0,0,0,200079,11833,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,229,1043,0,0,0,0,695,509,0,0,0,0,1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,223,27,0,0,0,0,989,102,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70781,389630,262637,24501,0,0,0,0,0
170587,853377,825305,56348,0,0,0,0,673,40010,2512,0,0,0,0,196265,11724,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,230,1025,0,0,0,0,680,516,0,0,0,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,242,29,0,0,0,0,1037,91,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82324,381372,265533,24800,0,0,0,0,0
207256,820687,824828,56400,0,0,0,0,755,45744,2791,0,0,0,0,189844,11360,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,231,1024,0,0,0,0,665,531,0,0,0,0,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,274,34,0,0,0,0,933,94,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93495,368335,265502,24511,0,0,0,0,0
234677,796368,825952,56034,0,0,0,0,844,52092,3062,0,0,0,0,184854,10980,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,237,995,0,0,0,0,649,543,0,0,0,0,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,319,35,0,0,0,0,938,89,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105643,358636,267250,24276,0,0,0,0,0
