Rotating [A] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees and [B] LEFT WP from 0.00 to 90.00 with steps of 2.00 degrees. Other wave plates positions: [B] RIGHT WP at 88.00 degrees [A] RIGHT WP at 88.00 degrees LCC WP [1] at 2.27 degrees LCC WP [1] voltage 2.270V. Measurement timeout 1 seconds, number of measurements 1, Total measurement time 45 seconds. Bin size 2.268 ns, detector exposure 1000 ms. Total stages 225, steps per stage (file) 45.

Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch1&2,Ch1&3,Ch1&4,Ch1&5,Ch1&6,Ch1&7,Ch1&8,Ch2&3,Ch2&4,Ch2&5,Ch2&6,Ch2&7,Ch2&8,Ch3&4,Ch3&5,Ch3&6,Ch3&7,Ch3&8,Ch4&5,Ch4&6,Ch4&7,Ch4&8,Ch5&6,Ch5&7,Ch5&8,Ch6&7,Ch6&8,Ch7&8,Dl1&2,Dl1&3,Dl1&4,Dl1&5,Dl1&6,Dl1&7,Dl1&8,Dl2&3,Dl2&4,Dl2&5,Dl2&6,Dl2&7,Dl2&8,Dl3&4,Dl3&5,Dl3&6,Dl3&7,Dl3&8,Dl4&5,Dl4&6,Dl4&7,Dl4&8,Dl5&6,Dl5&7,Dl5&8,Dl6&7,Dl6&8,Dl7&8,Am1&2,Am1&3,Am1&4,Am1&5,Am1&6,Am1&7,Am1&8,Am2&3,Am2&4,Am2&5,Am2&6,Am2&7,Am2&8,Am2&4,Am3&5,Am3&6,Am3&7,Am3&8,Am3&5,Am3&6,Am3&7,Am4&8,Am4&6,Am4&7,Am4&8,Am4&7,Am4&8,Am4&8,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Linear(OPTINAL)
95307,914832,812757,57109,0,0,0,0,393,20649,1331,0,0,0,0,208723,12684,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,228,1075,0,0,0,0,734,481,0,0,0,0,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,154,24,0,0,0,0,1111,115,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43353,408330,255294,24788,0,0,0,0,0
94384,913818,811980,57603,0,0,0,0,375,20542,1322,0,0,0,0,209374,12977,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,227,1080,0,0,0,0,732,484,0,0,0,0,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,139,18,0,0,0,0,1045,102,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42949,409760,256294,25212,0,0,0,0,0
98016,912863,813069,57686,0,0,0,0,423,21291,1327,0,0,0,0,209100,12870,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,227,1087,0,0,0,0,731,483,0,0,0,0,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,140,19,0,0,0,0,1051,99,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44733,408715,256932,25053,0,0,0,0,0
106605,906886,813820,57396,0,0,0,0,448,23273,1402,0,0,0,0,208307,12834,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,232,1052,0,0,0,0,727,484,0,0,0,0,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,154,23,0,0,0,0,1079,88,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48553,407229,258274,25225,0,0,0,0,0
116586,897856,813316,57561,0,0,0,0,511,25449,1568,0,0,0,0,205162,12757,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087,228,1063,0,0,0,0,722,489,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,187,26,0,0,0,0,968,107,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52880,401399,257336,25082,0,0,0,0,0
132528,883535,812840,58189,0,0,0,0,557,28553,1814,0,0,0,0,201741,12670,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,231,1058,0,0,0,0,714,507,0,0,0,0,1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,212,26,0,0,0,0,996,109,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59436,394062,257764,25178,0,0,0,0,0
152009,868247,814320,57889,0,0,0,0,561,32891,2065,0,0,0,0,199106,12391,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,228,1054,0,0,0,0,700,506,0,0,0,0,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,211,25,0,0,0,0,1021,91,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68309,388017,260021,25198,0,0,0,0,0
174990,846299,813692,57744,0,0,0,0,679,37901,2393,0,0,0,0,194130,11897,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,233,1035,0,0,0,0,686,520,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,259,30,0,0,0,0,972,85,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78351,377284,260864,24866,0,0,0,0,0
199553,826891,814869,57789,0,0,0,0,730,43008,2732,0,0,0,0,189980,11926,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,232,1029,0,0,0,0,674,527,0,0,0,0,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,284,40,0,0,0,0,995,79,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88646,369149,262473,25240,0,0,0,0,0
226553,800384,812546,57447,0,0,0,0,786,49215,3117,0,0,0,0,184133,11255,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,236,1002,0,0,0,0,656,546,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,323,42,0,0,0,0,907,110,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100441,357276,263301,24889,0,0,0,0,0
