N,H1,H0,T1,T2,T3,T4 (max run),T5,T6(0),T8,K[+],K[-],Kdiff,PValue,Evalue,Keys,LCC Volts,Error
1,0.9999515,0.9882181,9918,55.23840,119,12,2499,-0.00410,2.67411,2.05548,4.42719,2.37171,0.99982,15.55200,12,1.578,00
2,0.9999995,0.9988463,9992,37.07520,136,14,2500,-0.00040,2.68572,4.11096,3.00416,1.10680,0.99914,17.69600,12,1.580,00
3,0.9998837,0.9817931,9873,56.00000,109,13,2498,-0.00635,2.70059,3.32039,3.79473,0.47434,0.99930,17.38000,12,1.581,00
4,0.9998606,0.9800846,9861,45.79200,127,14,2499,-0.00695,2.69937,4.11096,5.21776,1.10680,0.98110,23.69200,12,1.582,00
5,0.9999986,0.9979816,9986,54.25280,116,12,2499,-0.00070,2.66899,3.47851,3.00416,0.47434,0.99997,13.62400,12,1.582,00
6,0.9999943,0.9959661,9972,61.45280,113,14,2499,-0.00140,2.69277,3.63662,2.37171,1.26491,0.99997,13.59200,12,1.572,02
7,0.9997663,0.9742624,9820,55.27040,128,13,2499,-0.00900,2.70079,3.16228,4.58530,1.42302,0.99310,21.36000,12,1.571,00
8,0.9999896,1.0054927,10038,70.43840,100,14,2499,0.00190,2.70237,3.95285,2.84605,1.10680,0.99924,17.50400,12,1.572,02
9,0.9999594,0.9892202,9925,63.55200,104,13,2499,-0.00375,2.77039,4.42719,3.63662,0.79057,0.99957,16.70800,12,1.573,02
10,0.9998818,0.9816507,9872,47.35360,108,12,2499,-0.00640,2.76753,2.68794,3.00416,0.31623,0.99999,12.91200,12,1.574,00
11,0.9999790,0.9922304,9946,53.08800,117,12,2499,-0.00270,2.77757,3.00416,3.47851,0.47434,0.99925,17.48800,12,1.575,00
12,0.9999647,0.9899363,9930,66.11840,122,13,2499,-0.00350,2.77255,2.84605,3.32039,0.47434,0.99999,12.03200,12,1.576,02
13,0.9999812,0.9926610,9949,58.24640,103,13,2499,-0.00255,2.77867,2.68794,3.47851,0.79057,0.99933,17.32400,12,1.577,02
14,0.9999993,1.0014434,10010,53.77280,129,15,2499,0.00050,2.78430,4.58530,2.37171,2.21359,0.99999,12.70400,12,1.577,00
15,0.9999955,0.9963978,9975,48.19840,121,17,2499,-0.00125,2.77287,3.00416,3.95285,0.94868,0.99932,17.34800,12,1.587,00
16,0.9999947,0.9961100,9973,64.84480,109,14,2499,-0.00135,2.76315,3.47851,4.11096,0.63246,0.99712,19.66800,12,1.597,02
17,0.9998685,1.0196090,10135,65.13280,106,15,2498,0.00675,2.77863,3.00416,3.63662,0.63246,0.99970,16.22000,12,1.598,02
18,0.9999491,1.0121698,10084,67.47520,107,13,2499,0.00420,2.78078,3.95285,3.00416,0.94868,0.99658,19.98400,12,1.598,02
19,0.9999988,1.0018767,10013,54.50240,111,14,2499,0.00065,2.76696,3.16228,3.16228,0.00000,0.99988,15.12400,12,1.596,00
20,0.9999999,1.0004329,10003,56.56960,120,12,2499,0.00015,2.77887,3.32039,4.42719,1.10680,0.98483,23.14000,12,1.598,00
21,0.9998781,1.0188780,10130,52.62080,112,13,2499,0.00650,2.78781,3.47851,3.00416,0.47434,0.99959,16.64000,12,1.588,00
22,0.9999723,1.0089726,10062,58.61760,112,13,2498,0.00310,2.77669,3.47851,2.68794,0.79057,0.99999,12.67200,12,1.589,02
23,0.9999943,0.9959661,9972,65.42080,107,12,2499,-0.00140,2.78133,3.00416,5.05964,2.05548,0.99983,15.47200,12,1.590,02
24,0.9999550,0.9886475,9921,78.53440,112,13,2499,-0.00395,2.78166,2.68794,4.11096,1.42302,0.99930,17.38800,12,1.588,02
25,1.0000000,1.0001443,10001,46.70080,124,12,2499,0.00005,2.78154,3.16228,3.47851,0.31623,0.99999,12.75600,12,1.589,00
26,0.9999797,1.0076666,10053,70.29120,101,12,2499,0.00265,2.76847,4.42719,2.21359,2.21359,0.99972,16.10800,12,1.589,02
27,0.9999766,0.9918000,9943,36.89600,122,13,2500,-0.00285,2.77180,4.42719,3.32039,1.10680,0.99996,13.78800,12,1.587,00
28,0.9997663,0.9742624,9820,48.72960,118,15,2499,-0.00900,2.77313,1.10680,3.79473,2.68794,1.00000,11.16000,12,1.589,00
29,0.9999999,0.9994230,9996,75.81440,119,15,2499,-0.00020,2.76806,2.68794,2.52982,0.15811,0.99998,12.98400,12,1.590,02
30,0.9999984,0.9978376,9985,46.03520,109,13,2499,-0.00075,2.76274,2.68794,4.42719,1.73925,0.99777,19.22000,12,1.590,00
31,0.9999854,1.0065068,10045,52.92160,121,13,2499,0.00225,2.77800,5.05964,4.42719,0.63246,0.98649,22.86000,12,1.589,00
32,0.9999962,0.9966856,9977,55.74400,126,13,2499,-0.00115,2.76757,2.84605,3.32039,0.47434,0.99945,17.02800,12,1.589,00
33,0.9999974,1.0027437,10019,40.98560,122,13,2499,0.00095,2.78219,4.11096,3.32039,0.79057,0.99829,18.77200,12,1.591,00
34,0.9999931,0.9955346,9969,75.05920,97,11,2499,-0.00155,2.77532,3.63662,3.16228,0.47434,0.99934,17.30000,12,1.581,02
35,0.9999389,0.9867879,9908,44.51200,115,14,2499,-0.00460,2.77310,3.00416,3.63662,0.63246,0.99517,20.64000,12,1.591,00
36,0.9999834,1.0069416,10048,37.24160,134,14,2499,0.00240,2.77885,4.11096,3.79473,0.31623,0.99970,16.20800,12,1.592,00
37,0.9999999,1.0005772,10004,47.72480,112,14,2499,0.00020,2.77146,3.63662,2.68794,0.94868,0.99999,12.08000,12,1.602,00
38,0.9998705,1.0194628,10134,59.76320,134,13,2499,0.00670,2.78301,3.00416,3.32039,0.31623,0.99904,17.85600,12,1.603,02
39,0.9999441,1.0127519,10088,35.53280,119,12,2499,0.00440,2.77381,3.79473,2.52982,1.26491,0.99999,12.67200,12,1.604,00
40,0.9998762,1.0190242,10131,47.65440,131,14,2499,0.00655,2.77740,3.79473,5.37587,1.58114,0.99961,16.56400,12,1.605,00
41,0.9999912,1.0050583,10035,46.96320,122,14,2499,0.00175,2.77527,3.63662,3.32039,0.31623,0.99978,15.81200,12,1.605,00
42,0.9998153,1.0232698,10160,72.66560,137,11,2498,0.00800,2.76784,5.05964,2.68794,2.37171,0.99336,21.28000,12,1.603,02
43,0.9999988,1.0018767,10013,55.59040,139,15,2499,0.00065,2.78802,4.74342,2.68794,2.05548,0.99871,18.30800,12,1.613,00
44,0.9999335,1.0139168,10096,49.24160,122,14,2499,0.00480,2.76865,3.32039,2.37171,0.94868,1.00000,11.67200,12,1.613,00
45,0.9999996,1.0010102,10007,49.44640,113,13,2499,0.00035,2.77783,5.21776,3.95285,1.26491,0.98946,22.28400,12,1.611,00
46,0.9999647,1.0101344,10070,47.76960,110,15,2499,0.00350,2.77234,3.00416,2.68794,0.31623,0.99962,16.53600,12,1.610,00
47,0.9999749,1.0085371,10059,56.56320,112,13,2499,0.00295,2.77922,3.47851,4.26907,0.79057,0.99355,21.22000,12,1.611,00
48,0.9998245,1.0226834,10156,62.98240,113,13,2498,0.00780,2.77531,3.32039,3.00416,0.31623,1.00000,11.91200,12,1.611,02
49,0.9999714,1.0091177,10063,78.77120,100,15,2499,0.00315,2.77857,3.47851,2.21359,1.26491,0.99999,12.92400,12,1.611,02
50,0.9997866,1.0250302,10172,84.09600,114,14,2498,0.00860,2.76409,4.74342,2.05548,2.68794,0.99423,20.99200,12,1.611,02
51,0.9999127,1.0159576,10110,45.08800,106,14,2499,0.00550,2.79315,3.32039,3.00416,0.31623,0.99941,17.12800,12,1.611,00
52,0.9999797,1.0076666,10053,69.19680,104,13,2499,0.00265,2.77317,4.74342,2.68794,2.05548,0.99947,16.99600,12,1.610,02
53,0.9997423,1.0275279,10189,62.81600,100,13,2496,0.00945,2.78067,4.90153,4.26907,0.63246,0.87060,30.16400,12,1.609,02
54,0.9998818,1.0185857,10128,43.27680,112,15,2499,0.00640,2.78312,3.95285,2.21359,1.73925,0.99861,18.43200,12,1.599,00
55,0.9999854,1.0065068,10045,35.54560,154,13,2499,0.00225,2.76772,3.63662,3.95285,0.31623,0.99908,17.78800,12,1.609,00
56,0.9999029,1.0168331,10116,46.45120,118,13,2498,0.00580,2.78242,4.26907,2.52982,1.73925,0.99841,18.64800,12,1.619,00
57,0.9997368,1.0278220,10191,67.62240,112,11,2499,0.00955,2.78792,3.63662,1.26491,2.37171,0.99974,16.04400,12,1.619,02
58,0.9997143,1.0289991,10199,67.69920,124,14,2497,0.00995,2.78676,3.63662,2.84605,0.79057,0.99874,18.27600,12,1.618,02
59,0.9999335,1.0139168,10096,60.02560,113,12,2498,0.00480,2.77084,4.11096,4.42719,0.31623,0.99174,21.74400,12,1.618,02
60,0.9999890,1.0056375,10039,60.80000,106,13,2499,0.00195,2.77276,4.26907,3.32039,0.94868,0.99855,18.50000,12,1.618,02
61,0.9999666,1.0098438,10068,63.21280,123,13,2499,0.00340,2.78359,2.21359,2.84605,0.63246,1.00000,11.44800,12,1.620,02
62,0.9999572,1.0111517,10077,50.57280,112,12,2499,0.00385,2.78037,4.90153,3.00416,1.89737,0.99894,18.01200,12,1.621,00
63,0.9999890,1.0056375,10039,45.45920,117,12,2499,0.00195,2.78273,4.26907,3.32039,0.94868,0.99927,17.44400,12,1.620,00
64,0.9999441,1.0127519,10088,91.00800,119,14,2499,0.00440,2.79276,3.16228,2.84605,0.31623,0.99999,12.72000,12,1.620,02
